station,location,x,y
KMI_6472,Humain,213458,98067
KMI_6484,Buzenol,238183,34949
KMI_6447,Ukkel,149377,165077
KMI_6455,Dourbes,166282,87083
KMI_6439,Sint-Katelijne-Waver,161253,195183
KMI_6414,Beitem,62433,177770
KMI_6464,Retie,196134,212533
KMI_6494,MontRigi,271048,134673
KMI_6418,Zeebrugge,68311,227035
KMI_6477,Diepenbeek,226166,178859
KMI_6434,Melle,111863,185117
KMI_6431,Zelzate,110942,207931
KMI_FS3,Ukkel,149377,165077
KMI_6459,Ernage,172864,141211
KMI2003_nu_v2,Ukkel,149377,165077
KMI1990_2002,Ukkel,149377,165077
P01_003,Zarren,51907,191193
P01_010,Ieper,45836,171260
P01_015,Sint-Joris,37391,203053
P01_029,De Panne,25566,198775
P01_037,Poperinge,30383,169639
P02_004,Oostkamp,71934,203046
P02_008,Klemskerke,54903,213712
P02_030,Dudzele,73428,219889
P03_041,Ertvelde,107553,206313
P03_017,Boekhoute,102378,217610
P03_036,Stekene,126793,209790
P03_005,Vinderhoute,100117,197676
P04_027,Wilrijk,150532,204061
P04_001,Melsele,142966,214911
P04_020,Massemen,115584,185349
P05_038,Geluwe,59622,167497
P05_019,Waregem,82616,172798
P05_039,Roeselare,65867,181510
P06_040,Zingem,99800,177500
P06_014,Maarke-Kerkem,100828,167846
P07_022,Denderbelle,130619,188456
P07_006,Liedekerke,130730,175177
P07_021,Moerbeke,116794,159224
P08_028,Rotselaar,173437,181832
P08_013,Korbeek-Dijle,169338,169563
P08_031,Heverlee,170944,174177
P08_033,Nossegem,159180,174735
P08_018,Bonheiden,159936,191383
P08_009,St-Pieters-Leeuw,144952,166549
P08_023,Lembeek,139389,155330
P09_025,Houthalen,219082,189904
P09_026,Runkelen,205040,172223
P09_016,Lummen,205866,184545
P09_012,Niel-bij-St.-Truiden,204600,158877
P09_034,Tessenderlo,202728,193815
P09_032,Tienen,192311,166377
P09_035,Beverst,226491,177335
P10_011,Herentals,183363,205910
P10_042,Vosselaar,187754,220718
P11_007,Loenhout,173416,230970
P11_002,Overpelt,224843,210857
P11_024,Kanne,242038,167382
P11_043,Neeroeteren,242149,197668
