source,datafile,completeness,consider,note
KMI,KMI_6414_2003,-1,0,
KMI,KMI_6414_2004,0.998679577,1,
KMI,KMI_6414_2005,0.999596449,1,
KMI,KMI_6414_2006,0.99862543,1,
KMI,KMI_6414_2007,0.996527778,1,
KMI,KMI_6414_2008,0.99790795,1,
KMI,KMI_6414_2009,0.885766646,0,
KMI,KMI_6414_2010,1,1,
KMI,KMI_6414_2011,0.405079251,0,
KMI,KMI_6414_2012,0.805385231,0,
KMI,KMI_6414_2013,0.96438294,1,
KMI,KMI_6414_2014,1,1,
KMI,KMI_6414_2015,0.629396771,0,
KMI,KMI_6414_2016,1,1,
KMI,KMI_6414_2017,0.999737945,1,
KMI,KMI_6414_2018,0.999096658,1,
KMI,KMI_6414_2019,1,1,
KMI,KMI_6414_2020,0.981448763,1,
KMI,KMI_6414_2021,-1,0,
KMI,KMI_6418_2012,-1,0,
KMI,KMI_6418_2013,1,1,
KMI,KMI_6418_2014,0.632393085,0,
KMI,KMI_6418_2015,1,1,
KMI,KMI_6418_2016,1,1,
KMI,KMI_6418_2017,0.999521531,1,
KMI,KMI_6418_2018,1,1,
KMI,KMI_6418_2019,0.757190265,0,
KMI,KMI_6418_2020,0.965336821,1,
KMI,KMI_6418_2021,-1,0,
KMI,KMI_6431_2012,-1,0,
KMI,KMI_6431_2013,1,1,
KMI,KMI_6431_2014,1,1,
KMI,KMI_6431_2015,1,1,
KMI,KMI_6431_2016,1,1,
KMI,KMI_6431_2017,1,1,
KMI,KMI_6431_2018,0.168181818,0,
KMI,KMI_6431_2019,0,0,
KMI,KMI_6431_2020,0,0,
KMI,KMI_6431_2021,0,0,
KMI,KMI_6434_2002,-1,0,
KMI,KMI_6434_2003,0.88639201,0,
KMI,KMI_6434_2004,0.998302927,1,
KMI,KMI_6434_2005,0.913994169,0,
KMI,KMI_6434_2006,1,1,
KMI,KMI_6434_2007,0.999688376,1,
KMI,KMI_6434_2008,0.994935854,1,
KMI,KMI_6434_2009,0.781462837,0,
KMI,KMI_6434_2010,0.411550633,0,
KMI,KMI_6434_2011,0.479255774,0,
KMI,KMI_6434_2012,0.902604167,0,
KMI,KMI_6434_2013,1,1,
KMI,KMI_6434_2014,0.888074617,0,
KMI,KMI_6434_2015,0.936004785,0,
KMI,KMI_6434_2016,0.619242199,0,
KMI,KMI_6434_2017,1,1,
KMI,KMI_6434_2018,1,1,
KMI,KMI_6434_2019,0.999088838,1,
KMI,KMI_6434_2020,0.997099047,1,
KMI,KMI_6434_2021,-1,0,
KMI,KMI_6439_2007,-1,0,
KMI,KMI_6439_2008,0.997821351,1,
KMI,KMI_6439_2009,1,1,
KMI,KMI_6439_2010,1,1,
KMI,KMI_6439_2011,0.685674548,0,
KMI,KMI_6439_2012,0.997695853,1,
KMI,KMI_6439_2013,0.999650594,1,
KMI,KMI_6439_2014,0.833996024,0,
KMI,KMI_6439_2015,0.950283617,1,
KMI,KMI_6439_2016,1,1,
KMI,KMI_6439_2017,1,1,
KMI,KMI_6439_2018,0.999652295,1,
KMI,KMI_6439_2019,0.934673367,0,
KMI,KMI_6439_2020,0.99705635,1,
KMI,KMI_6439_2021,-1,0,
KMI,KMI_6447_2003,0.990023943,1,
KMI,KMI_6447_2004,0.992337165,1,
KMI,KMI_6447_2005,1,1,
KMI,KMI_6447_2006,1,1,
KMI,KMI_6447_2007,1,1,
KMI,KMI_6447_2008,0.99851632,1,
KMI,KMI_6447_2009,0.785983203,0,
KMI,KMI_6447_2010,1,1,
KMI,KMI_6447_2011,1,1,
KMI,KMI_6447_2012,0.993961353,1,
KMI,KMI_6447_2013,1,1,
KMI,KMI_6447_2014,1,1,
KMI,KMI_6447_2015,1,1,
KMI,KMI_6447_2016,1,1,
KMI,KMI_6447_2017,1,1,
KMI,KMI_6447_2018,1,1,
KMI,KMI_6447_2019,1,1,
KMI,KMI_6447_2020,0.994482173,1,
KMI,KMI_6447_2021,-1,0,
KMI,KMI_6455_2000,-1,0,
KMI,KMI_6455_2001,0.859464408,0,
KMI,KMI_6455_2002,1,1,
KMI,KMI_6455_2003,1,1,
KMI,KMI_6455_2004,0.99962321,1,
KMI,KMI_6455_2005,1,1,
KMI,KMI_6455_2006,0.99395233,1,
KMI,KMI_6455_2007,1,1,
KMI,KMI_6455_2008,0.995553085,1,
KMI,KMI_6455_2009,0.655015198,0,
KMI,KMI_6455_2010,0.994411571,1,
KMI,KMI_6455_2011,1,1,
KMI,KMI_6455_2012,0.996421115,1,
KMI,KMI_6455_2013,1,1,
KMI,KMI_6455_2014,1,1,
KMI,KMI_6455_2015,1,1,
KMI,KMI_6455_2016,1,1,
KMI,KMI_6455_2017,0.728462763,0,
KMI,KMI_6455_2018,1,1,
KMI,KMI_6455_2019,1,1,
KMI,KMI_6455_2020,0.993914036,1,
KMI,KMI_6455_2021,1,1,
KMI,KMI_6459_2000,-1,0,
KMI,KMI_6459_2001,0.950610275,1,
KMI,KMI_6459_2002,0.988078736,1,
KMI,KMI_6459_2003,1,1,
KMI,KMI_6459_2004,1,1,
KMI,KMI_6459_2005,1,1,
KMI,KMI_6459_2006,0.977394164,1,
KMI,KMI_6459_2007,1,1,
KMI,KMI_6459_2008,0.99771615,1,
KMI,KMI_6459_2009,0.990079365,1,
KMI,KMI_6459_2010,1,1,
KMI,KMI_6459_2011,0.992765957,1,
