datafile,source,datafile,completeness,consider,year,station,fname_rainfall,fname_erosivity,file_exists
KMI_6414_2003,KMI,KMI_6414_2003,-1,0,2003,KMI_6414,,,
P11_043_2017,VMM,P11_043_2017,0.998445596,1,2017,P11_043,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P11_043_2017.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P11_043_2017new cumdistr salles.txt,1
P11_043_2016,VMM,P11_043_2016,0.99552795,1,2016,P11_043,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P11_043_2016.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P11_043_2016new cumdistr salles.txt,1
P11_043_2015,VMM,P11_043_2015,0.999729144,1,2015,P11_043,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P11_043_2015.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P11_043_2015new cumdistr salles.txt,1
P11_043_2014,VMM,P11_043_2014,1,1,2014,P11_043,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P11_043_2014.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P11_043_2014new cumdistr salles.txt,1
P11_043_2012,VMM,P11_043_2012,0.978825794,1,2012,P11_043,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P11_043_2012.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P11_043_2012new cumdistr salles.txt,1
KMI_6414_2009,KMI,KMI_6414_2009,0.885766646,0,2009,KMI_6414,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\KMI_6414_2009.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\KMI_6414_2009new cumdistr salles.txt,1
P11_043_2011,VMM,P11_043_2011,0.999410898,1,2011,P11_043,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P11_043_2011.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P11_043_2011new cumdistr salles.txt,1
KMI_6414_2011,KMI,KMI_6414_2011,0.405079251,0,2011,KMI_6414,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\KMI_6414_2011.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\KMI_6414_2011new cumdistr salles.txt,1
KMI_6414_2012,KMI,KMI_6414_2012,0.805385231,0,2012,KMI_6414,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\KMI_6414_2012.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\KMI_6414_2012new cumdistr salles.txt,1
