station;locatie;x;y
KMI_6472;Humain;213458;98067
KMI_6484;Buzenol;238183;34949
KMI_6447;Ukkel;149377;165077
KMI_6455;Dourbes;166282;87083
KMI_6439;Sint-Katelijne-Waver;161253;195183
KMI_6414;Beitem;62433;177770
KMI_6464;Retie;196134;212533
KMI_6494;MontRigi;271048;134673
KMI_6418;Zeebrugge;68311;227035
KMI_6477;Diepenbeek;226166;178859
KMI_6434;Melle;111863;185117
KMI_6431;Zelzate;110942;207931
KMI_FS3;Ukkel;149377;165077
KMI_6459;Ernage;172864;141211
KMI2003_nu_v2;Ukkel;149377;165077
KMI1990_2002;Ukkel;149377;165077
